BodyLength,CleanBodyLength,TitleLength,BodyWords,CleanBodyWords,TitleWords,ContainsCode,LinkCount,LinkLiveCount,ParagraphsCount,TagsCount,Y
129,122,53,26,26,8,False,0,0,1,2,LQ_CLOSE
1062,160,42,99,99,9,True,0,0,4,2,LQ_CLOSE
175,168,127,33,33,22,False,0,0,1,1,LQ_CLOSE
2021,2021,42,659,659,9,False,0,0,0,2,LQ_EDIT
358,342,41,63,63,7,False,0,0,1,2,HQ
1452,1375,46,160,160,9,False,6,0,0,2,LQ_EDIT
516,502,83,89,89,13,False,0,0,2,4,HQ
512,448,38,58,58,5,False,1,0,5,5,HQ
1570,1490,70,251,251,12,True,0,0,4,2,HQ
1024,940,47,155,155,7,False,0,0,3,2,HQ
1734,1734,64,483,483,9,False,0,0,0,5,LQ_EDIT
479,223,49,105,105,9,True,0,0,1,5,LQ_CLOSE
676,602,96,106,106,15,True,0,0,4,5,LQ_CLOSE
953,542,46,82,82,9,True,0,0,9,3,HQ
780,780,47,196,196,10,False,0,0,0,5,LQ_EDIT
593,420,35,93,93,5,True,0,0,5,3,HQ
1532,873,31,313,313,5,True,1,1,5,4,HQ
384,370,95,63,63,15,False,0,0,2,4,HQ
1465,267,91,157,157,12,True,0,0,8,3,HQ
216,202,56,36,36,10,False,0,0,2,5,HQ
2889,500,49,569,569,7,True,0,0,5,3,HQ
322,109,27,88,88,6,True,0,0,2,2,LQ_CLOSE
508,508,56,133,133,12,False,0,0,0,1,LQ_EDIT
512,512,42,99,99,8,False,0,0,0,2,LQ_EDIT
985,953,73,102,102,14,False,1,0,4,2,HQ
528,366,61,83,83,9,True,0,0,4,2,LQ_CLOSE
1418,1418,126,497,497,25,False,0,0,0,5,LQ_EDIT
2228,695,41,587,587,5,True,1,0,5,4,HQ
595,353,38,70,70,3,True,0,0,4,1,HQ
264,264,50,39,39,8,False,0,0,0,2,LQ_EDIT
840,819,47,133,133,9,False,0,0,3,4,HQ
827,765,141,79,79,27,True,2,0,4,2,HQ
152,152,79,22,22,14,False,0,0,0,2,LQ_EDIT
503,475,74,76,76,10,False,0,0,4,5,HQ
628,402,39,74,74,8,True,1,0,3,2,HQ
1524,1297,28,118,118,6,True,5,0,11,4,HQ
908,605,82,148,148,15,True,0,0,5,3,HQ
354,231,36,50,50,9,True,0,0,2,4,HQ
339,268,32,46,46,7,True,0,0,5,1,HQ
598,598,44,112,112,8,False,0,0,0,2,LQ_EDIT
1179,673,78,218,218,12,True,0,0,5,2,HQ
223,223,35,36,36,6,False,0,0,0,5,LQ_EDIT
231,231,40,30,30,6,False,0,0,0,1,LQ_EDIT
2292,2182,50,850,850,8,False,0,0,0,2,LQ_EDIT
743,717,41,70,70,5,False,3,0,2,3,HQ
263,249,34,49,49,5,False,0,0,2,2,LQ_CLOSE
398,205,56,39,39,7,True,0,0,2,2,HQ
277,243,53,41,41,8,True,0,0,3,3,HQ
416,261,94,86,86,17,True,0,0,2,2,LQ_CLOSE
171,151,59,21,21,8,True,0,0,1,2,HQ
670,670,125,111,111,14,False,0,0,0,2,LQ_EDIT
855,823,54,115,115,8,False,1,0,4,4,HQ
315,294,75,52,52,14,False,0,0,3,4,LQ_CLOSE
1945,176,47,682,682,6,True,0,0,3,3,LQ_CLOSE
639,583,43,63,63,8,True,2,0,5,3,LQ_CLOSE
849,212,40,245,245,7,True,0,0,2,3,HQ
583,353,29,76,76,5,True,0,0,4,5,LQ_CLOSE
796,751,38,132,132,9,False,0,0,4,3,HQ
711,647,51,101,101,7,False,1,0,5,2,HQ
582,421,40,78,78,7,True,0,0,5,2,HQ
1811,102,28,365,365,5,True,0,0,4,2,LQ_CLOSE
933,287,20,223,223,4,True,0,0,2,1,LQ_CLOSE
459,414,55,71,71,5,False,0,0,4,4,HQ
917,832,36,108,108,7,True,0,0,4,4,LQ_CLOSE
96,96,60,12,12,9,False,0,0,0,3,LQ_EDIT
225,225,61,39,39,10,False,0,0,0,2,LQ_EDIT
178,171,34,35,35,6,False,0,0,1,3,LQ_CLOSE
1410,798,83,165,165,14,True,0,0,7,1,HQ
524,499,22,92,92,5,False,1,0,3,3,HQ
2314,861,64,449,449,10,True,0,0,4,3,HQ
902,838,16,129,129,3,False,2,0,8,3,LQ_CLOSE
2088,340,28,416,416,4,True,0,0,3,3,HQ
610,568,30,100,100,6,False,0,0,6,4,HQ
520,409,33,90,90,5,True,0,0,2,4,HQ
881,881,41,212,212,5,False,0,0,0,4,LQ_EDIT
281,251,48,45,45,9,False,0,0,3,1,HQ
401,365,39,28,28,6,False,2,0,4,2,HQ
801,377,30,179,179,4,True,2,0,3,2,HQ
475,185,47,46,46,8,True,0,0,5,5,HQ
727,236,66,189,189,7,True,0,0,1,2,LQ_CLOSE
10594,326,47,986,986,5,True,0,0,4,1,HQ
1123,913,82,118,118,14,True,2,0,9,5,HQ
794,216,34,222,222,7,True,0,0,1,1,HQ
576,531,45,74,74,7,True,1,0,4,3,HQ
1870,1019,47,276,276,7,True,2,0,5,2,HQ
314,303,24,37,37,4,False,1,0,1,3,HQ
485,299,49,82,82,9,True,0,0,2,2,HQ
654,644,32,132,132,4,False,0,0,0,3,LQ_EDIT
85,85,51,19,19,10,False,0,0,0,3,LQ_EDIT
943,943,21,137,137,3,False,0,0,0,2,LQ_EDIT
1309,374,69,301,301,12,True,0,0,3,4,HQ
1213,252,45,268,268,9,True,0,0,3,3,HQ
353,353,44,63,63,6,False,0,0,0,1,LQ_EDIT
785,785,56,108,108,4,False,0,0,0,4,LQ_EDIT
1309,893,26,238,238,4,True,0,0,8,3,LQ_CLOSE
259,259,36,38,38,7,False,0,0,0,1,LQ_EDIT
2881,544,64,573,573,11,True,0,0,8,3,LQ_CLOSE
131,124,67,23,23,13,False,0,0,1,2,HQ
309,309,34,46,46,5,False,0,0,0,1,LQ_EDIT
547,533,72,73,73,12,False,0,0,2,1,HQ
173,101,44,24,24,9,True,0,0,1,1,HQ
345,276,48,50,50,5,True,0,0,2,5,HQ
1783,301,15,138,138,2,True,0,0,2,2,LQ_CLOSE
601,601,60,100,100,11,False,0,0,0,2,LQ_EDIT
1768,1768,37,597,597,7,False,0,0,0,3,LQ_EDIT
1249,187,38,206,206,5,True,0,0,3,1,LQ_CLOSE
418,418,36,70,70,5,False,0,0,0,4,LQ_EDIT
388,346,53,43,43,10,False,0,0,6,4,LQ_CLOSE
1509,1369,29,133,133,6,False,0,0,0,2,LQ_EDIT
936,474,51,134,134,9,True,0,0,5,2,HQ
1759,1759,99,240,240,21,False,0,0,0,2,LQ_EDIT
188,181,56,32,32,9,False,0,0,1,1,LQ_CLOSE
474,176,39,59,59,7,True,0,0,2,1,HQ
1486,1486,45,246,246,9,False,0,0,0,2,LQ_EDIT
1013,1013,43,261,261,8,False,0,0,0,3,LQ_EDIT
2048,217,42,264,264,5,True,0,0,3,2,LQ_CLOSE
350,173,63,27,27,7,True,0,0,3,2,HQ
1062,688,58,166,166,11,True,0,0,3,3,HQ
309,309,32,63,63,7,False,0,0,0,3,LQ_EDIT
744,530,32,97,97,5,True,0,0,4,2,HQ
425,204,26,39,39,4,True,0,0,3,4,HQ
978,891,42,136,136,7,True,2,0,3,3,HQ
246,89,47,50,50,12,True,0,0,2,3,LQ_CLOSE
637,637,38,108,108,6,False,0,0,0,4,LQ_EDIT
2838,771,43,363,363,5,True,0,0,8,3,HQ
3902,3892,19,1139,1139,3,False,0,0,0,4,LQ_EDIT
339,321,49,51,51,10,False,1,0,2,1,HQ
525,497,52,84,84,10,False,0,0,4,1,LQ_CLOSE
585,538,80,102,102,15,True,0,0,3,2,HQ
2123,339,80,335,335,16,True,0,0,2,5,LQ_CLOSE
422,270,43,56,56,7,True,0,0,4,3,HQ
302,302,36,55,55,6,False,0,0,0,2,LQ_EDIT
225,225,34,45,45,4,False,0,0,0,1,LQ_EDIT
726,719,31,130,130,5,False,0,0,1,4,LQ_CLOSE
201,177,37,28,28,5,False,0,0,1,1,LQ_CLOSE
663,268,72,86,86,11,True,0,0,6,5,HQ
3015,553,55,1150,1150,10,True,0,0,5,4,LQ_CLOSE
687,481,34,104,104,7,True,0,0,3,3,HQ
1033,1033,85,284,284,14,False,0,0,0,2,LQ_EDIT
554,236,47,69,69,7,True,0,0,3,2,HQ
442,428,53,75,75,9,False,0,0,2,4,LQ_CLOSE
1825,1825,61,650,650,12,False,0,0,0,2,LQ_EDIT
444,419,48,60,60,9,False,1,0,3,4,HQ
2284,1542,30,311,311,5,True,2,0,10,2,HQ
171,124,58,17,17,9,True,0,0,3,3,HQ
1434,760,27,304,304,4,True,0,0,8,4,HQ
561,534,58,90,90,8,True,0,0,2,2,HQ
1397,729,67,186,186,14,True,0,0,7,4,HQ
1117,1015,40,132,132,6,True,2,0,6,4,HQ
707,648,32,112,112,8,False,0,0,6,3,LQ_CLOSE
471,428,58,38,38,8,False,2,0,5,3,LQ_CLOSE
705,646,68,112,112,12,False,0,0,2,4,HQ
1115,481,45,204,204,6,True,0,0,5,3,HQ
440,433,68,37,37,9,False,0,0,1,2,LQ_CLOSE
117,110,44,25,25,8,False,0,0,1,3,HQ
149,149,49,33,33,11,False,0,0,0,1,LQ_EDIT
586,586,67,204,204,14,False,0,0,0,1,LQ_EDIT
178,147,26,25,25,3,False,0,0,2,2,LQ_CLOSE
679,215,47,96,96,8,True,0,0,1,2,LQ_CLOSE
2878,1138,110,394,394,15,True,3,0,5,3,HQ
1194,1194,80,170,170,14,False,0,0,0,1,LQ_EDIT
2231,2231,108,714,714,18,False,0,0,0,1,LQ_EDIT
472,451,45,80,80,7,False,0,0,3,3,LQ_CLOSE
1011,1011,38,215,215,7,False,0,0,0,2,LQ_EDIT
536,250,43,93,93,8,True,0,0,2,4,LQ_CLOSE
641,456,47,77,77,5,True,0,0,7,3,HQ
1589,1426,34,272,272,8,False,1,0,0,1,LQ_EDIT
1392,729,36,154,154,5,True,1,0,4,4,HQ
1152,588,50,127,127,6,True,0,0,7,1,HQ
652,381,53,63,63,7,True,0,0,3,1,HQ
174,174,40,35,35,9,False,0,0,0,4,LQ_EDIT
232,74,63,13,13,10,True,0,0,1,1,HQ
1185,207,78,167,167,9,True,0,0,4,3,HQ
288,274,55,52,52,10,False,0,0,2,3,HQ
208,101,30,31,31,7,True,0,0,2,2,LQ_CLOSE
337,337,32,53,53,6,False,0,0,0,2,LQ_EDIT
1158,230,49,195,195,6,True,0,0,2,1,HQ
315,179,28,23,23,4,True,0,0,2,4,LQ_CLOSE
455,172,59,45,45,9,True,0,0,4,3,HQ
2707,2689,17,46,46,3,False,1,0,2,2,LQ_CLOSE
483,358,33,51,51,5,True,1,0,3,3,HQ
1466,583,36,241,241,5,True,0,0,9,5,HQ
337,316,45,60,60,8,False,0,0,3,3,HQ
353,335,38,43,43,7,False,1,0,2,4,HQ
1016,941,54,133,133,6,False,1,0,5,5,LQ_CLOSE
578,445,44,78,78,5,True,0,0,3,4,HQ
118,94,80,17,17,14,False,0,0,1,3,LQ_CLOSE
1349,1164,57,172,172,9,True,0,0,7,3,HQ
1487,607,89,191,191,13,True,0,0,7,1,HQ
468,326,38,48,48,8,True,1,0,5,4,HQ
149,128,53,18,18,9,False,0,0,3,1,LQ_CLOSE
248,248,58,30,30,11,False,0,0,0,1,LQ_EDIT
863,145,54,100,100,11,True,0,0,2,2,LQ_CLOSE
866,392,59,137,137,11,True,0,0,2,2,LQ_CLOSE
962,585,34,110,110,6,True,0,0,5,2,HQ
662,484,98,103,103,16,True,0,0,4,4,LQ_CLOSE
126,126,34,22,22,7,False,0,0,0,2,LQ_EDIT
614,247,57,109,109,8,True,0,0,4,1,HQ
655,300,53,104,104,10,True,0,0,4,1,HQ
394,367,35,68,68,6,True,0,0,2,5,HQ
1620,1536,40,243,243,7,False,0,0,12,1,LQ_CLOSE
581,290,118,67,67,24,True,0,0,3,1,LQ_CLOSE
1375,348,75,193,193,10,True,0,0,6,2,HQ
501,199,31,85,85,4,True,0,0,3,3,LQ_CLOSE
495,195,71,53,53,11,True,0,0,3,2,HQ
477,432,79,51,51,11,True,1,0,4,4,HQ
679,488,59,88,88,9,True,1,0,2,3,LQ_CLOSE
865,865,85,126,126,12,False,0,0,0,5,LQ_EDIT
524,465,60,72,72,12,False,0,0,2,4,HQ
154,154,137,10,10,17,False,0,0,0,2,LQ_EDIT
694,437,50,90,90,7,True,1,0,6,1,HQ
235,228,94,35,35,15,False,0,0,1,5,HQ
369,307,48,53,53,10,True,0,0,2,4,HQ
5710,591,63,476,476,9,True,0,0,5,4,HQ
304,134,81,31,31,14,True,0,0,3,2,HQ
1182,359,65,97,97,10,True,0,0,5,3,HQ
876,243,37,94,94,7,True,0,0,6,3,HQ
12559,1281,51,1671,1671,9,True,1,0,13,4,LQ_CLOSE
1206,1130,68,109,109,11,False,3,0,4,5,HQ
627,620,38,109,109,8,False,0,0,1,1,LQ_CLOSE
877,877,35,256,256,7,False,0,0,0,3,LQ_EDIT
931,931,107,247,247,20,False,0,0,0,5,LQ_EDIT
401,155,39,56,56,8,True,0,0,3,3,LQ_CLOSE
1538,207,38,134,134,5,True,0,0,5,3,HQ
662,310,45,128,128,8,True,0,0,3,4,HQ
207,207,102,23,23,20,False,0,0,0,3,LQ_EDIT
193,186,58,30,30,8,False,0,0,1,1,LQ_CLOSE
808,775,45,155,155,5,False,0,0,0,3,LQ_EDIT
234,227,27,40,40,4,False,0,0,1,4,HQ
270,76,91,87,87,20,True,0,0,1,1,LQ_CLOSE
1919,1919,66,485,485,11,False,0,0,0,3,LQ_EDIT
127,127,22,21,21,4,False,0,0,0,4,LQ_EDIT
575,575,18,176,176,5,False,0,0,0,2,LQ_EDIT
555,534,23,92,92,4,False,0,0,3,2,LQ_CLOSE
518,490,69,90,90,14,False,0,0,4,1,HQ
835,156,82,64,64,13,True,0,0,1,4,HQ
784,174,47,135,135,9,True,0,0,3,1,HQ
955,274,42,164,164,9,True,0,0,9,3,LQ_CLOSE
274,260,51,47,47,8,False,0,0,2,4,HQ
1722,1722,41,447,447,6,False,0,0,0,1,LQ_EDIT
1092,987,55,127,127,5,True,0,0,3,2,HQ
383,194,85,44,44,15,True,0,0,3,4,HQ
164,157,44,31,31,7,False,0,0,1,3,LQ_CLOSE
497,180,46,54,54,10,True,0,0,3,1,LQ_CLOSE
296,164,43,36,36,8,True,0,0,3,2,LQ_CLOSE
863,287,55,142,142,11,True,0,0,5,4,HQ
779,700,52,99,99,8,True,2,0,4,3,HQ
410,410,30,145,145,5,False,0,0,0,4,LQ_EDIT
412,412,48,48,48,8,False,0,0,0,2,LQ_EDIT
569,569,62,86,86,13,False,0,1,0,2,LQ_EDIT
605,444,63,111,111,13,True,0,0,3,3,LQ_CLOSE
741,741,59,136,136,10,False,0,0,0,2,LQ_EDIT
1705,676,25,261,261,5,True,1,0,5,2,HQ
773,590,46,123,123,7,True,0,0,4,2,LQ_CLOSE
1766,1766,22,1023,1023,5,False,0,0,0,3,LQ_EDIT
1087,1019,30,147,147,5,True,0,0,7,5,HQ
343,343,33,65,65,6,False,0,0,0,4,LQ_EDIT
381,370,47,54,54,7,False,1,0,1,1,LQ_CLOSE
403,337,47,53,53,10,True,0,0,1,1,HQ
1411,442,89,185,185,12,True,0,0,7,5,HQ
1409,779,70,134,134,10,True,0,0,7,2,HQ
1013,455,39,113,113,6,True,0,0,5,2,HQ
745,492,15,97,97,4,True,2,0,3,3,HQ
577,577,40,190,190,8,False,0,0,0,2,LQ_EDIT
1028,356,53,88,88,6,True,0,0,1,2,HQ
242,221,53,44,44,12,False,0,0,3,1,LQ_CLOSE
574,574,46,174,174,9,False,0,0,0,4,LQ_EDIT
465,433,35,64,64,7,False,1,0,4,4,LQ_CLOSE
358,344,43,61,61,7,False,0,0,2,3,LQ_CLOSE
289,91,37,42,42,4,True,0,0,2,3,HQ
25366,25326,36,4918,4918,8,False,0,0,0,3,LQ_EDIT
1359,1093,81,206,206,13,True,0,0,14,2,HQ
2716,2636,68,444,444,12,True,3,0,7,5,HQ
278,174,41,33,33,6,True,0,0,2,5,HQ
372,234,49,58,58,10,True,0,0,2,1,LQ_CLOSE
199,199,52,31,31,9,False,0,0,0,2,LQ_EDIT
444,201,39,66,66,6,True,0,0,4,5,HQ
616,73,45,58,58,7,True,0,0,1,5,LQ_CLOSE
471,366,25,61,61,4,False,0,0,4,2,HQ
138,138,133,26,26,23,False,0,0,0,4,LQ_EDIT
259,238,90,42,42,15,False,0,0,3,2,HQ
172,172,34,23,23,6,False,0,0,0,3,LQ_EDIT
1398,663,49,347,347,9,True,0,0,2,1,LQ_CLOSE
627,237,33,90,90,6,True,1,0,3,2,HQ
364,339,114,53,53,17,False,1,0,3,4,LQ_CLOSE
434,420,61,68,68,10,False,0,0,2,3,LQ_CLOSE
158,151,53,28,28,11,False,0,0,1,5,LQ_CLOSE
2112,684,32,309,309,5,True,0,0,7,4,HQ
534,505,94,59,59,16,False,2,0,3,2,LQ_CLOSE
980,793,37,125,125,6,True,0,0,5,3,HQ
385,186,67,42,42,12,True,0,0,3,1,LQ_CLOSE
2683,701,43,410,410,7,True,1,0,6,5,HQ
1411,493,50,287,287,10,True,0,0,4,4,HQ
1489,1489,137,548,548,25,False,0,0,0,4,LQ_EDIT
451,451,51,81,81,7,False,0,0,0,1,LQ_EDIT
1487,799,37,211,211,5,True,1,0,6,2,HQ
456,456,27,89,89,2,False,0,0,0,3,LQ_EDIT
303,303,71,30,30,10,False,0,0,0,2,LQ_EDIT
424,424,56,49,49,11,False,0,0,0,2,LQ_EDIT
2238,590,80,341,341,15,True,0,0,3,5,HQ
248,234,45,46,46,8,False,0,0,2,2,LQ_CLOSE
2131,1944,73,314,314,11,True,1,0,5,4,HQ
662,397,38,88,88,6,True,0,0,3,2,HQ
931,245,34,234,234,5,True,0,0,6,1,HQ
221,207,47,37,37,9,False,0,0,0,1,LQ_EDIT
305,291,40,51,51,8,False,0,0,2,1,LQ_CLOSE
874,874,32,127,127,6,False,0,0,0,2,LQ_EDIT
709,497,45,128,128,6,True,0,0,4,3,HQ
336,336,61,67,67,11,False,0,0,0,4,LQ_EDIT
741,693,23,108,108,4,False,0,0,3,3,LQ_CLOSE
676,676,22,74,74,3,False,0,0,0,2,LQ_EDIT
657,571,48,108,108,10,False,0,0,0,3,LQ_EDIT
874,339,53,123,123,6,True,0,0,4,2,HQ
597,108,46,55,55,7,True,0,0,4,3,HQ
1336,1076,53,174,174,8,True,1,0,7,4,HQ
2044,2044,32,463,463,6,False,0,0,0,3,LQ_EDIT
462,462,23,52,52,5,False,0,0,0,3,LQ_EDIT
192,185,36,32,32,6,False,0,0,1,1,LQ_CLOSE
705,667,39,108,108,7,True,1,0,3,2,HQ
500,493,38,87,87,7,False,0,0,1,2,HQ
655,655,47,105,105,10,False,0,0,0,3,LQ_EDIT
395,377,29,54,54,5,False,1,0,2,2,HQ
195,188,71,33,33,10,False,0,0,1,1,LQ_CLOSE
1188,838,46,133,133,8,True,0,0,4,5,HQ
1341,1341,65,418,418,10,False,0,0,0,4,LQ_EDIT
208,201,51,40,40,11,False,0,0,1,5,HQ
5631,2328,56,1000,1000,9,True,7,0,13,5,HQ
503,503,43,110,110,9,False,0,0,0,2,LQ_EDIT
480,241,68,85,85,12,True,0,0,3,1,HQ
4152,843,33,814,814,5,True,4,0,6,3,HQ
625,513,47,100,100,7,True,0,0,4,3,HQ
1627,1627,80,265,265,12,False,0,0,0,4,LQ_EDIT
289,275,47,54,54,9,False,0,0,2,3,LQ_CLOSE
294,184,60,51,51,11,True,0,0,1,1,LQ_CLOSE
273,252,57,50,50,12,False,0,0,3,4,LQ_CLOSE
298,138,28,41,41,7,True,0,0,1,2,LQ_CLOSE
72,65,97,12,12,16,False,0,0,1,2,LQ_CLOSE
187,173,50,27,27,7,False,0,0,2,1,LQ_CLOSE
488,488,54,95,95,9,False,0,0,0,3,LQ_EDIT
1110,1110,31,167,167,6,False,0,0,0,2,LQ_EDIT
189,182,47,39,39,7,False,0,0,1,4,LQ_CLOSE
222,206,63,35,35,10,False,0,0,1,2,LQ_CLOSE
318,318,55,61,61,9,False,0,0,0,2,LQ_EDIT
319,208,92,40,40,9,True,0,0,3,4,LQ_CLOSE
650,324,35,128,128,6,True,0,0,1,2,LQ_CLOSE
212,212,23,48,48,4,False,0,0,0,1,LQ_EDIT
504,486,78,86,86,16,False,1,0,2,2,LQ_CLOSE
892,394,55,84,84,11,True,0,0,4,1,LQ_CLOSE
721,721,33,270,270,7,False,0,0,0,1,LQ_EDIT
2188,2095,37,376,376,7,False,0,0,6,3,LQ_CLOSE
186,186,59,31,31,12,False,0,0,0,4,LQ_EDIT
418,418,75,78,78,10,False,0,0,0,1,LQ_EDIT
1430,1430,38,398,398,7,False,0,0,0,3,LQ_EDIT
612,612,40,164,164,8,False,0,0,0,3,LQ_EDIT
1240,1143,57,265,265,9,False,0,0,3,1,LQ_EDIT
139,139,27,26,26,4,False,0,0,0,3,LQ_EDIT
316,192,30,40,40,4,True,0,0,3,1,LQ_CLOSE
1750,1750,92,441,441,16,False,0,0,0,2,LQ_EDIT
1291,1291,44,247,247,6,False,0,0,0,3,LQ_EDIT
1027,1027,48,198,198,7,False,0,0,0,1,LQ_EDIT
308,301,51,51,51,9,False,0,0,1,2,LQ_CLOSE
848,848,29,136,136,4,False,0,0,0,3,LQ_EDIT
719,319,50,128,128,10,True,0,0,3,2,LQ_CLOSE
3564,979,69,626,626,12,True,0,0,4,3,LQ_CLOSE
161,154,49,30,30,10,False,0,0,1,4,LQ_CLOSE
1505,184,20,173,173,4,True,0,0,3,4,LQ_CLOSE
492,492,39,156,156,7,False,0,0,0,3,LQ_EDIT
285,285,38,48,48,8,False,0,0,0,2,LQ_EDIT
765,387,18,81,81,2,True,0,0,5,3,LQ_CLOSE
1302,1302,39,137,137,4,False,0,0,0,1,LQ_EDIT
374,237,27,48,48,5,True,0,0,4,1,LQ_CLOSE
597,573,51,125,125,8,False,0,0,0,2,LQ_EDIT
242,242,53,67,67,10,False,0,0,0,1,LQ_EDIT
374,353,48,55,55,7,False,0,0,3,3,LQ_CLOSE
1129,624,47,128,128,7,True,0,0,5,5,LQ_CLOSE
487,243,48,153,153,9,True,0,0,2,3,LQ_CLOSE
320,230,58,43,43,10,True,0,0,2,2,LQ_CLOSE
1377,1366,102,264,264,18,False,0,1,0,4,LQ_EDIT
259,171,51,28,28,6,True,0,0,4,2,LQ_CLOSE
1459,710,44,279,279,7,True,0,0,7,2,LQ_CLOSE
967,838,53,177,177,11,False,5,0,4,2,LQ_EDIT
2240,2230,49,963,963,8,False,0,0,0,1,LQ_EDIT
694,694,40,106,106,7,False,0,0,0,3,LQ_EDIT
478,450,25,78,78,5,False,0,0,4,1,LQ_CLOSE
146,139,55,25,25,10,False,0,0,1,3,LQ_CLOSE
395,395,55,69,69,10,False,0,0,0,3,LQ_EDIT
1008,261,78,225,225,14,True,0,0,3,2,LQ_CLOSE
747,310,35,88,88,6,True,0,0,4,3,LQ_CLOSE
93,93,44,11,11,9,False,0,0,0,5,LQ_EDIT
